,to_user,brand,positive_pst,n_adj,total_pst,mean_like_cnt,beta,p,PP_scr
0,100000090674282,nan,5,1.505149978319906,5,1135.84,0.12021857923497267,1.0,4.6288339533144205
1,100000197527970,nan,1,0.6020599913279624,2,1167.301724137931,0.5191256830601093,0.5,2.1849097526253414
2,100000197527970,similac,0,0.3010299956639812,1,1167.301724137931,0.5191256830601093,0.0,0.3010299956639812
3,100000250783293,enfa,33,24.792649828361526,90,62.64732142857143,0.8797814207650273,0.36666666666666664,25.695510375005966
4,100000250783293,similac,38,25.218618560633807,92,62.64732142857143,0.8797814207650273,0.41304347826086957,26.24333133706676
5,100000322372457,nan,2,0.9030899869919435,3,930.6470588235294,0.17486338797814208,0.6666666666666666,2.918902180809968
6,100000359650093,enfa,11,4.089481202687437,15,5.088652482269503,0.7650273224043715,0.7333333333333333,5.032385561995499
7,100000359650093,similac,33,11.416506143517747,42,5.088652482269503,0.7650273224043715,0.7857142857142857,12.522991095239213
8,100000641426063,enfa,0,0.3010299956639812,1,957.6084337349398,0.5573770491803278,0.0,0.3010299956639812
9,100000641426063,nan,2,0.6020599913279624,2,957.6084337349398,0.5573770491803278,1.0,3.774531505700875
10,100000761988848,nan,2,0.9030899869919435,3,961.0224719101124,0.37158469945355194,0.6666666666666666,2.969041535651579
11,100000941004296,nan,3,1.2041199826559248,4,404.11538461538464,0.4644808743169399,0.75,3.2994437313063205
12,100000941004296,similac,0,0.3010299956639812,1,404.11538461538464,0.4644808743169399,0.0,0.3010299956639812
13,100001034079001,optimum,1,0.3010299956639812,1,1529.1294964028777,0.5300546448087432,1.0,3.5952374138169083
14,100001261711300,enfa,0,0.3010299956639812,1,1034.394,0.8633879781420765,0.0,0.3010299956639812
15,100001261711300,optimum,0,0.3010299956639812,1,1034.394,0.8633879781420765,0.0,0.3010299956639812
16,100001261711300,similac,0,0.3010299956639812,1,1034.394,0.8633879781420765,0.0,0.3010299956639812
17,100001650992984,optimum,0,0.3010299956639812,1,2470.806629834254,0.6612021857923497,0.0,0.3010299956639812
18,100001650992984,similac,3,1.2041199826559248,4,2470.806629834254,0.6612021857923497,0.75,3.947662067228621
19,100002708846347,enfa,0,0.3010299956639812,1,1301.9375,0.46994535519125685,0.0,0.3010299956639812
20,100002708846347,nan,1,0.6020599913279624,2,1301.9375,0.46994535519125685,0.5,2.2039450854557012
21,100002879804954,enfa,3,0.7781512503836436,3,27.734939759036145,0.43169398907103823,1.0,2.4258567306980607
22,100002947761648,nan,0,0.3010299956639812,1,2316.9936440677966,0.9508196721311475,0.0,0.3010299956639812
23,100002947761648,optimum,1,0.3010299956639812,1,2316.9936440677966,0.9508196721311475,1.0,3.86252766113901
24,100002952941432,nan,0,0.3010299956639812,1,1474.0251572327045,0.6120218579234973,0.0,0.3010299956639812
25,100002952941432,similac,0,0.3010299956639812,1,1474.0251572327045,0.6120218579234973,0.0,0.3010299956639812
26,100003274585860,friso,0,0.3010299956639812,1,6.15,0.8306010928961749,0.0,0.3010299956639812
27,100003274585860,similac,0,0.3010299956639812,1,6.15,0.8306010928961749,0.0,0.3010299956639812
28,100003707632771,enfa,0,0.3010299956639812,1,26.672131147540984,0.2896174863387978,0.0,0.3010299956639812
29,100003707632771,similac,0,0.6020599913279624,2,26.672131147540984,0.2896174863387978,0.0,0.6020599913279624
30,100003713187043,nan,0,0.3010299956639812,1,663.1538461538462,0.3442622950819672,0.0,0.3010299956639812
31,100004016977149,nan,0,0.3010299956639812,1,121.5,0.36065573770491804,0.0,0.3010299956639812
32,100004204003813,nan,4,1.2041199826559248,4,429.52941176470586,0.3333333333333333,1.0,4.008156134967834
33,100005762618701,optimum,0,0.3010299956639812,1,8.646511627906976,0.5519125683060109,0.0,0.3010299956639812
34,100006485900931,nan,5,1.505149978319906,5,799.6190476190476,0.20218579234972678,1.0,4.5229136817755
35,100006492785190,nan,2,0.6020599913279624,2,1250.3791208791208,0.7103825136612022,1.0,3.9426639443758082
36,100006492785190,similac,0,0.3010299956639812,1,1250.3791208791208,0.7103825136612022,0.0,0.3010299956639812
37,100007016911108,nan,4,1.2041199826559248,4,623.1034482758621,0.37158469945355194,1.0,4.188921912402479
38,100008358601713,enfa,0,0.3010299956639812,1,901.6976744186046,0.22404371584699453,0.0,0.3010299956639812
39,100008358601713,nan,2,0.6020599913279624,2,901.6976744186046,0.22404371584699453,1.0,3.634308599462037
40,100010293311018,enfa,1,0.3010299956639812,1,12.00875273522976,0.73224043715847,1.0,1.5665050045898339
41,100010293311018,friso,1,0.3010299956639812,1,12.00875273522976,0.73224043715847,1.0,1.5665050045898339
42,100010293311018,nan,1,0.3010299956639812,1,12.00875273522976,0.73224043715847,1.0,1.5665050045898339
43,100010293311018,optimum,2,0.6020599913279624,2,12.00875273522976,0.73224043715847,1.0,1.9669942386675165
44,100010293311018,similac,3,0.9030899869919435,3,12.00875273522976,0.73224043715847,1.0,2.338408625220146
45,100012423076999,similac,0,0.6020599913279624,2,13.102272727272727,0.6557377049180327,0.0,0.6020599913279624
46,100015642520842,enfa,2,0.6020599913279624,2,1.8915094339622642,0.4918032786885246,1.0,1.2315642538797338
47,100015642520842,nan,6,2.584331224367531,10,1.8915094339622642,0.4918032786885246,0.6,3.014777901103388
48,100015642520842,similac,8,3.0102999566398116,11,1.8915094339622642,0.4918032786885246,0.7272727272727273,3.55927792197271
49,100027603482286,nan,3,0.9030899869919435,3,10.05693950177936,0.6010928961748634,1.0,2.2103005003998057
50,100027603482286,optimum,1,0.6020599913279624,2,10.05693950177936,0.6010928961748634,0.5,1.1806979608886763
51,103592947280,enfa,1,0.3010299956639812,1,1347.6,0.09836065573770492,1.0,3.4512288845921986
52,103592947280,similac,1,0.3010299956639812,1,1347.6,0.09836065573770492,1.0,3.4512288845921986
53,1362923905,similac,1,0.3010299956639812,1,814.2666666666667,0.12568306010928962,1.0,3.2382886745229715
